,Alanine (g),"Alcohol, ethyl (g)",Arginine (g),Ash (g),Aspartic acid (g),Beta-sitosterol (g),Betaine (g),Butanoic acid (g),Caffeine (g),"Calcium, Ca (g)",Calories (g),Campesterol (g),Carbohydrate (g),"Carotene, alpha (g)","Carotene, beta (g)",Cholesterol (g),Choline (g),"Cis,cis,cis-octadecatrienoic n-3 acid (g)","Cis,cis,cis-octadecatrienoic n-6 acid (g)","Cis,cis-eicosadienoic n-6 acid (g)","Cis,cis-octadecadienoic n-6 acid (g)",Cis-hexadecenoic acid (g),Cis-octadecenoic acid (g),"Copper, Cu (g)","Cryptoxanthin, beta (g)",Cystine (g),Decanoic acid (g),Dihydrophylloquinone (g),Docosahexaenoic n-3 acid (g),Docosanoic acid (g),Docosapentaenoic n-3 acid (g),Docosatetraenoic acid (g),Docosenoic acid (g),Docosenoic cis acid (g),Docosenoic trans acid (g),Dodecanoic acid (g),Eicosadienoic acid (g),Eicosadienoic n-3 acid (g),Eicosadienoic n-6 acid (g),Eicosanoic acid (g),Eicosapentaenoic n-3 acid (g),Eicosatetraenoic acid (g),Eicosenoic acid (g),Fat (g),"Fatty acids, total trans (g)","Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",Fiber (g),"Fluoride, F (g)",Folate (g),Folic acid (g),Fructose (g),Galactose (g),Glucose (dextrose) (g),Glutamic acid (g),Glycine (g),Heptadecanoic acid (g),Heptadecenoic acid (g),Hexadecanoic acid (g),Hexadecenoic acid (g),Hexanoic acid (g),Histidine (g),Hydroxyproline (g),Irans-Octadecadienoic acid (g),"Iron, Fe (g)",Isoleucine (g),Lactose (g),Leucine (g),Lutein + zeaxanthin (g),Lycopene (g),Lysine (g),"Magnesium, Mg (g)",Maltose (g),"Manganese, Mn (g)",Menaquinone-4 (g),Methionine (g),Monounsaturated fatty acids (g),Niacin (g),Octadecadienoic CLAs acid (g),Octadecadienoic acid (g),Octadecanoic acid (g),Octadecatetraenoic acid (g),Octadecatrienoic acid (g),Octadecenoic acid (g),Octanoic acid (g),Pantothenic acid (g),Pentadecanoic acid (g),Pentadecenoic acid (g),Phenylalanine (g),"Phosphorus, P (g)",Phytosterols (g),Polyunsaturated fatty acids (g),"Potassium, K (g)",Proline (g),Protein (g),Riboflavin (g),Saturated fatty acids (g),"Selenium, Se (g)",Serine (g),Serving Size (g),"Sodium, Na (g)",Starch (g),Stigmasterol (g),Sucrose (g),Sugars (g),Tetracosanoic acid (g),Tetracosenoic cis acid (g),Tetradecanoic acid (g),Tetradecenoic acid (g),Theobromine (g),Thiamin (g),Threonine (g),"Tocopherol, alpha (g)","Tocopherol, beta (g)","Tocopherol, delta (g)","Tocopherol, gamma (g)","Tocotrienol, alpha (g)","Tocotrienol, beta (g)","Tocotrienol, delta (g)","Tocotrienol, gamma (g)","Trans,trans-octadecadienoic acid (g)",Trans-hexadecenoic acid (g),Trans-octadecadienoic acid (g),Trans-octadecatrienoic acid (g),Trans-octadecenoic acid (g),Tridecanoic acid (g),Tryptophan (g),Tyrosine (g),Uncosapentaenoic acid (g),Valine (g),Vitamin A (IU),"Vitamin A, RAE (g)",Vitamin B12 (g),Vitamin B6 (g),Vitamin C (g),Vitamin D (IU),Vitamin D2 (ergocalciferol) (g),Vitamin D3 (cholecalciferol) (g),Vitamin E (g),Vitamin K (g),Water (g),"Zinc, Zn (g)"
"Margarine Spread, tub, approximately 48% fat",0.0,0.0,0.0,1.75,0.0,0.062,0.0,0.0,0.0,0.004,0.0,0.022,0.86,0.0,0.0,0.001,0.0,2.121,0.0,0.228,17.355,0.034,11.894,8e-06,0.0,0.0,0.0,2.67e-05,0.0,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.066,47.53,4.422,4.422,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,4.862,0.034,0.0,0.0,0.0,0.532,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,16.416,0.0,0.0,17.886,3.425,0.0,2.121,16.316,0.0,1e-06,0.0,0.0,0.0,0.004,0.0,20.235,0.036000000000000004,0.0,0.2,1.9e-05,8.792,0.0,0.0,100.0,0.646,0.0,0.02,0.0,0.0,0.071,0.0,0.038,0.0,0.0,0.0,0.0,0.00394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.00394,0.0001013,49.66,6e-05
"Margarine, soybean (hydrogenated), hard, regular",0.029,0.0,0.031,2.0,0.065,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.9,0.0,0.00061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.179,0.018,0.0,0.0,9.6,0.2,0.0,0.023,0.0,0.0,0.0,0.052,0.0,0.084,0.0,0.0,0.068,0.003,0.0,0.0,0.0,0.021,39.3,2.3e-05,0.0,19.4,6.9,0.0,1.5,39.1,0.0,8.400000000000001e-05,0.0,0.0,0.041,0.023,0.146,20.9,0.042,0.083,0.9,3.7e-05,16.7,0.0,0.046,100.0,0.9430000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1e-05,0.039,0.0031000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.041,0.0,0.057,3577.0,0.000819,1e-07,9e-06,0.0002,0.0,0.0,0.0,0.0031000000000000003,0.0,15.7,0.0
"Margarine, with salt, tub, composite, 80% fat, regular",0.0,0.0,0.0,1.78,0.0,0.112,0.0,0.0,0.0,0.003,0.0,0.048,0.75,0.0,0.00061,0.0,0.012400000000000001,4.677,0.354,0.024,21.038,0.088,30.293,0.0,0.0,0.0,0.023,5.36e-05,0.003,0.105,0.005,0.0,0.026,0.026,0.0,0.433,0.021,0.0,0.021,0.356,0.0,0.0,0.682,80.17,5.827,5.248,0.579,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.038,7.075,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,36.435,0.0,0.04,21.656,5.808,0.0,5.031,35.541,0.015,8.5e-05,0.02,0.0,0.0,0.005,0.21,26.741,0.017,0.0,0.22,0.0,14.224,0.0,0.0,100.0,0.657,0.0,0.037,0.0,0.0,0.087,0.061,0.24,0.0,0.0,0.0,0.0,0.01543,0.00016,0.0066500000000000005,0.02698,4e-05,0.0,0.0,5e-05,0.0,0.0,0.579,0.0,5.248,0.0,0.0,0.0,0.0,0.0,3571.0,0.000819,8e-08,0.0,0.0001,0.0,0.0,0.0,0.01543,9.169999999999999e-05,17.07,0.0
"Mayonnaise dressing, no cholesterol",0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.3,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.357,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,18.026,1e-05,0.0,40.569,2.952,0.0,4.97,18.026,0.0,0.0,0.0,0.0,0.0,0.025,0.0,45.539,0.014,0.0,0.0,6e-05,10.784,1.6e-06,0.0,100.0,0.486,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.01179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.01179,2.4699999999999997e-05,21.7,0.00013000000000000002
"Mayonnaise, made with tofu",0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,3.06,0.0,2.3e-05,0.0,0.0262,0.0,0.0,0.003,0.0,0.0,0.0,8.999999999999999e-05,6e-06,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.241,0.0,0.0,0.001,0.008,0.0,0.0,0.065,0.0,0.0,0.11,31.79,0.153,0.0,0.0,1.1,4e-07,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,1.962,0.007,0.0,0.0,0.0,0.0,0.00027,0.0,0.0,0.0,2.1e-05,0.0,0.0,0.052000000000000005,0.0,0.00039900000000000005,0.0,0.0,5.246,8.999999999999999e-05,0.0,14.534,0.815,0.0,2.042,4.873,0.0,0.000124,0.0,0.0,0.0,0.049,0.0,16.59,0.066,0.0,5.95,4e-05,2.921,1.6e-06,0.0,100.0,0.773,0.0,0.0,0.0,0.85,0.002,0.016,0.005,0.0,0.0,5e-05,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2e-06,0.0,2e-05,0.0,0.0,0.0,0.0,0.0024,5.34e-05,56.33,0.0004
"Mayonnaise, with olive oil, reduced fat",0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9999999999999997e-05,0.033,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.9e-05,3e-06,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.125,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,4.377,0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05,0.0,0.0,0.002,0.0,7e-06,0.0,0.0,29.542,1e-05,0.0,3.689,0.793,0.0,0.317,28.953,0.0,5.800000000000001e-05,0.005,0.0,0.0,0.015,0.0,4.006,0.031,0.0,0.37,0.0,5.37,2.2999999999999996e-06,0.0,100.0,0.8,0.0,0.0,0.0,0.0,0.024,0.0,0.016,0.0,0.0,8e-06,0.0,0.00219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,8e-06,1.2e-07,2e-06,0.0,0.0,0.0,0.0,0.00219,5.37e-05,57.58,7.000000000000001e-05
Milk and cereal bar,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.045,0.0,0.41000000000000003,0.0,0.0,72.05,0.0,0.0,0.006,0.031,0.0,0.0,0.0,0.0,0.0,0.0,4.9000000000000005e-05,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98,0.0,0.0,0.0,0.4,0.0,9.8e-05,8.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.839,0.009,0.05,0.0,0.0,0.0,0.0059900000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.000206,0.0,0.0,1.186,0.008194000000000002,0.0,0.23,0.881,0.0,0.009,1.177,0.325,0.000495,0.0,0.0,0.0,0.155,0.0,0.239,0.254,0.0,6.47,0.000696,9.114,7.699999999999999e-06,0.0,100.0,0.319,0.0,0.0,0.0,45.97,0.0,0.0,0.977,0.0,0.0,0.000615,0.0,0.00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,0.000188,2e-06,0.000819,0.0154,68.0,0.0,0.0,0.00042,2.4999999999999998e-06,8.69,0.00084
"Milk, calcium fortified (fat free or skim), nonfat, fluid",0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.009,0.0,0.20400000000000001,0.0,0.0,4.85,0.0,0.0,0.002,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-05,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.007,0.001,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.047,8.8e-05,0.0,0.005,0.019,0.0,0.002,0.038,0.002,0.0,0.0,0.0,0.0,0.101,0.0,0.007,0.166,0.0,3.4,0.00014000000000000001,0.117,2.1e-06,0.0,100.0,0.052000000000000005,0.0,0.0,0.0,4.85,0.0,0.0,0.017,0.0,0.0,3.6e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,0.000137,3.7999999999999996e-07,4e-05,0.001,47.0,0.0,1.2e-06,1e-05,0.0,90.8,0.0004
"Milk, dried, buttermilk",1.183,0.0,1.242,7.95,2.602,0.0,0.0,0.187,0.0,1.184,0.0,0.0,49.0,0.0,9e-06,0.069,0.1187,0.0,0.0,0.0,0.0,0.0,0.0,0.000111,0.0,0.317,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78,0.0,0.0,0.0,0.0,0.0,4.7e-05,0.0,0.0,0.0,0.0,7.183,0.726,0.0,0.0,1.52,0.129,0.111,0.93,0.0,0.0,0.0003,2.075,0.0,3.36,0.0,0.0,2.72,0.11,0.0,2.3e-05,0.0,0.86,1.669,0.000876,0.0,0.131,0.7,0.0,0.084,1.454,0.065,0.00317,0.0,0.0,1.656,0.933,0.0,0.215,1.592,3.322,34.3,0.0015789999999999999,3.598,2.03e-05,1.866,100.0,0.517,0.0,0.0,0.0,49.0,0.0,0.0,0.581,0.0,0.0,0.00039200000000000004,1.548,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484,1.656,0.0,2.296,175.0,4.9e-05,3.82e-06,0.00033800000000000003,0.0057,20.0,0.0,5e-07,0.0001,4e-07,2.97,0.004019999999999999
"Milk, fluid, sheep",0.269,0.0,0.198,0.96,0.328,0.0,0.0,0.204,0.0,0.193,0.0,0.0,5.36,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6e-05,0.0,0.035,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.0,1.019,0.041,0.0,0.0,1.622,0.128,0.145,0.167,0.0,0.0,0.0001,0.338,0.0,0.587,0.0,0.0,0.513,0.018000000000000002,0.0,1.8e-05,0.0,0.155,1.724,0.000417,0.0,0.181,0.899,0.0,0.127,1.558,0.138,0.00040699999999999997,0.0,0.0,0.284,0.158,0.0,0.308,0.137,0.58,5.98,0.000355,4.603,1.6999999999999998e-06,0.492,100.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,6.500000000000001e-05,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.281,0.0,0.448,147.0,4.4e-05,7.1e-07,6e-05,0.004200000000000001,0.0,0.0,0.0,0.0,0.0,80.7,0.00054
"Milk, whole, fluid, buttermilk",0.108,0.0,0.092,0.68,0.275,0.0,0.0,0.076,0.0,0.115,0.0,0.0,4.88,0.0,7e-06,0.011,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,0.0,0.02,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.721,0.064,0.0,0.0,0.844,0.0,0.076,0.097,0.0,0.0,3e-05,0.166,0.0,0.304,0.0,0.0,0.269,0.01,0.0,4e-06,0.0,0.084,0.827,8.999999999999999e-05,0.0,0.122,0.371,0.0,0.076,0.827,0.076,0.00038,0.0,0.0,0.166,0.085,0.0,0.198,0.135,0.317,3.21,0.00017199999999999998,1.899,3.7e-06,0.193,100.0,0.105,0.0,0.0,0.0,4.88,0.0,0.0,0.302,0.0,0.0,4.7000000000000004e-05,0.137,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.162,0.0,0.21,165.0,4.7e-05,4.6e-07,3.6e-05,0.0,52.0,0.0,1.3e-06,7.000000000000001e-05,3e-07,87.91,0.00038
"Milk, with added vitamin A and vitamin D (fat free or skim), fluid, nonfat",0.114,0.0,0.096,0.75,0.288,0.0,0.0019,0.004,0.0,0.122,0.0,0.0,4.96,0.0,0.0,0.002,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-05,0.0,0.021,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,3.1e-06,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.757,0.067,0.0,0.0,0.025,0.003,0.0,0.102,0.0,0.0,3e-05,0.174,5.09,0.319,0.0,0.0,0.282,0.011,0.0,3e-06,0.0,0.088,0.022,9.400000000000001e-05,0.0,0.002,0.009,0.0,0.001,0.018,0.001,0.000357,0.0,0.0,0.175,0.101,0.0,0.003,0.156,0.332,3.37,0.000182,0.056,3.1e-06,0.203,100.0,0.042,0.0,0.0,0.0,5.09,0.0,0.0,0.008,0.0,0.0,4.4999999999999996e-05,0.144,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.17,0.0,0.221,204.0,6.1e-05,5e-07,3.7e-05,0.0,47.0,0.0,1.2e-06,1e-05,0.0,90.84,0.00042
"Milk, with added vitamin A and vitamin D, 2% fat, evaporated",0.235,0.0,0.247,1.55,0.517,0.0,0.0,0.054,0.0,0.267,0.0,0.0,15.74,0.0,4e-06,0.0,0.0166,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,0.0,0.063,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8e-06,0.0,0.0,0.0,0.0,1.426,0.144,0.0,0.0,0.563,0.044,0.037,0.185,0.0,0.0,0.00019,0.412,0.0,0.667,0.0,0.0,0.54,0.024,0.0,6e-06,0.0,0.171,0.628,0.000194,0.0,0.046,0.256,0.0,0.022,0.584,0.015,0.000638,0.0,0.0,0.329,0.203,0.0,0.068,0.303,0.66,6.67,0.000316,1.204,2.2999999999999996e-06,0.37,100.0,0.1,0.0,0.0,0.0,6.67,0.0,0.0,0.204,0.0,0.0,4.7000000000000004e-05,0.307,0.00017999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.329,0.0,0.456,192.0,5.6e-05,1.6e-07,5e-05,0.016,160.0,0.0,0.0,0.00017999999999999998,2e-07,74.04,0.0007700000000000001
"Milk, with added vitamin A, evaporated, canned",0.235,0.0,0.247,1.55,0.517,0.0,0.0,0.195,0.0,0.261,0.0,0.0,10.04,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,0.0,0.063,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,0.0,0.0,0.0,0.0,8.5e-06,8e-06,0.0,0.0,0.0,0.0,1.426,0.144,0.0,0.0,2.027,0.159,0.134,0.185,0.0,0.0,0.00019,0.412,0.0,0.667,0.0,0.0,0.54,0.024,0.0,6e-06,0.0,0.171,2.335,0.000194,0.0,0.167,0.921,0.0,0.078,2.101,0.054,0.000638,0.0,0.0,0.329,0.203,0.0,0.245,0.303,0.66,6.81,0.000316,4.591,2.2999999999999996e-06,0.37,100.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.733,0.0,0.0,4.7000000000000004e-05,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.329,0.0,0.456,397.0,0.0,1.6e-07,5e-05,0.0019,0.0,0.0,0.0,0.0,0.0,74.04,0.0007700000000000001
"Milk, without added vitamin A and vitamin D (fat free or skim), fluid, nonfat",0.114,0.0,0.096,0.75,0.288,0.0,0.0019,0.004,0.0,0.122,0.0,0.0,4.96,0.0,7e-06,0.002,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-05,0.0,0.021,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,3.1e-06,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.757,0.067,0.0,0.0,0.025,0.003,0.0,0.102,0.0,0.0,3e-05,0.174,5.09,0.319,0.0,0.0,0.282,0.011,0.0,3e-06,0.0,0.088,0.021,9.400000000000001e-05,0.0,0.002,0.009,0.0,0.001,0.018,0.001,0.000357,0.0,0.0,0.175,0.101,0.0,0.003,0.156,0.332,3.37,0.000182,0.051,3.1e-06,0.203,100.0,0.042,0.0,0.0,0.0,5.09,0.0,0.0,0.008,0.0,0.0,4.4999999999999996e-05,0.144,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.17,0.0,0.221,15.0,2e-06,5e-07,3.7e-05,0.0,0.0,0.0,0.0,1e-05,0.0,90.84,0.00042
"Milk, without added vitamin A and vitamin D, evaporated, canned",0.235,0.0,0.247,1.55,0.517,0.0,0.0,0.195,0.0,0.261,0.0,0.0,10.04,0.0,1.4999999999999999e-05,0.029,0.0313,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,0.0,0.063,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,0.0,0.0,0.0,0.0,8.5e-06,8e-06,0.0,0.0,0.0,0.0,1.426,0.144,0.0,0.0,2.027,0.159,0.134,0.185,0.0,0.0,0.00019,0.412,0.0,0.667,0.0,0.0,0.54,0.024,0.0,6e-06,0.0,0.171,2.335,0.000194,0.0,0.167,0.921,0.0,0.078,2.101,0.054,0.000638,0.0,0.0,0.329,0.203,0.0,0.245,0.303,0.66,6.81,0.000316,4.591,2.2999999999999996e-06,0.37,100.0,0.106,0.0,0.0,0.0,10.04,0.0,0.0,0.733,0.0,0.0,4.7000000000000004e-05,0.307,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.329,0.0,0.456,239.0,6.5e-05,1.6e-07,5e-05,0.0019,6.0,0.0,1e-07,0.00016,6e-07,74.04,0.0007700000000000001
Millet flour,1.282,0.0,0.37,1.21,0.71,0.0,0.0,0.007,0.0,0.014,0.0,0.0,75.12,0.0,0.0,0.0,0.0,0.044,0.0,0.002,2.549,0.007,0.895,0.000535,0.0,0.178,0.008,0.0,0.0,0.015,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.021,0.0,0.02,0.02,4.25,0.002,0.0,0.003,3.5,0.0,4.2e-05,0.0,0.0,0.0,1.26,2.599,0.271,0.002,0.0,0.393,0.007,0.001,0.257,0.0,0.0,0.00394,0.473,0.0,1.537,0.0,0.0,0.144,0.11900000000000001,0.11,0.001002,2e-07,0.319,0.924,0.006019999999999999,0.0,2.552,0.071,0.0,0.044,0.895,0.0,0.001267,0.002,0.0,0.675,0.28500000000000003,0.0,2.618,0.224,0.911,10.75,7.3e-05,0.536,3.27e-05,0.782,100.0,0.004,69.88,0.0,0.3,1.66,0.012,0.001,0.003,0.002,0.0,0.000413,0.354,0.00011,6e-05,0.0005300000000000001,0.00207,0.0,0.0,1e-05,1e-05,0.0,0.0,0.003,0.0,0.0,0.0,0.17,0.326,0.0,0.584,0.0,0.0,0.0,0.000372,0.0,0.0,0.0,0.0,0.00011,8e-07,8.67,0.00263
"Mushrooms, raw, enoki",0.19,0.0,0.11,0.91,0.19,0.0,0.0014,0.0,0.0,0.0,0.0,0.001,7.81,0.0,0.0,0.0,0.047700000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.000107,0.0,0.02,0.0,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,2.7,0.0,4.8e-05,0.0,0.0,0.0,0.22,0.38,0.11,0.0,0.0,0.02,0.0,0.0,0.07,0.0,0.0,0.00115,0.09,0.0,0.13,0.0,0.0,0.13,0.016,0.0,7.5e-05,0.0,0.03,0.0,0.007032,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.00135,0.0,0.0,0.15,0.105,0.0,0.09,0.359,0.06,2.66,0.0002,0.02,2.2e-06,0.09,100.0,0.003,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.00022500000000000002,0.11,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.14,0.0,0.23,0.0,0.0,0.0,0.0001,0.0,5.0,1e-07,0.0,1e-05,0.0,88.34,0.0006500000000000001
"Mushrooms, raw, morel",0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.043000000000000003,0.0,0.003,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.215,0.002,0.022,0.000625,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,2.8,0.0,9e-06,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.052,0.002,0.0,0.0,0.0,0.0,0.01218,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.000587,0.0,0.0,0.052,0.0022519999999999997,0.0,0.215,0.009,0.0,0.0,0.022,0.0,0.00044,0.0,0.0,0.0,0.194,0.0,0.433,0.41100000000000003,0.0,3.12,0.000205,0.065,2.2e-06,0.0,100.0,0.021,0.0,0.0,0.0,0.6,0.001,0.003,0.001,0.0,0.0,6.900000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013600000000000003,0.0,206.0,5.0999999999999995e-06,0.0,0.0,0.0,89.61,0.0020299999999999997
