,18,Adjusted Protein,Alanine,"Alcohol, ethyl",Arginine,Ash,Aspartic acid,Beta-sitosterol,Betaine,Butanoic acid,Caffeine,"Calcium, Ca",Calories,Campesterol,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,"Cis,cis,cis-octadecatrienoic n-3 acid","Cis,cis,cis-octadecatrienoic n-6 acid","Cis,cis-eicosadienoic n-6 acid","Cis,cis-octadecadienoic n-6 acid",Cis-hexadecenoic acid,Cis-octadecenoic acid,"Copper, Cu","Cryptoxanthin, beta",Cystine,Decanoic acid,Dihydrophylloquinone,Docosahexaenoic n-3 acid,Docosanoic acid,Docosapentaenoic n-3 acid,Docosatetraenoic acid,Docosenoic acid,Docosenoic cis acid,Docosenoic trans acid,Dodecanoic acid,Eicosadienoic acid,Eicosadienoic n-3 acid,Eicosadienoic n-6 acid,Eicosanoic acid,Eicosapentaenoic n-3 acid,Eicosatetraenoic acid,Eicosenoic acid,Fat,"Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic",Fiber,"Fluoride, F",Folate,Folic acid,Fructose,Galactose,Glucose (dextrose),Glutamic acid,Glycine,Heptadecanoic acid,Heptadecenoic acid,Hexadecanoic acid,Hexadecenoic acid,Hexanoic acid,Histidine,Hydroxyproline,Irans-Octadecadienoic acid,"Iron, Fe",Isoleucine,Lactose,Leucine,Lutein + zeaxanthin,Lycopene,Lysine,"Magnesium, Mg",Maltose,"Manganese, Mn",Menaquinone-4,Methionine,Monounsaturated fatty acids,Niacin,Octadecadienoic CLAs acid,Octadecadienoic acid,Octadecanoic acid,Octadecatetraenoic acid,Octadecatrienoic acid,Octadecenoic acid,Octanoic acid,Pantothenic acid,Pentadecanoic acid,Pentadecenoic acid,Phenylalanine,"Phosphorus, P",Phytosterols,Polyunsaturated fatty acids,"Potassium, K",Proline,Protein,Riboflavin,Saturated fatty acids,"Selenium, Se",Serine,Serving Size,"Sodium, Na",Starch,Stigmasterol,Sucrose,Sugars,Tetracosanoic acid,Tetracosenoic cis acid,Tetradecanoic acid,Tetradecenoic acid,Theobromine,Thiamin,Threonine,"Tocopherol, alpha","Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma","Trans,trans-octadecadienoic acid",Trans-hexadecenoic acid,Trans-octadecadienoic acid,Trans-octadecatrienoic acid,Trans-octadecenoic acid,Tridecanoic acid,Tryptophan,Tyrosine,Uncosapentaenoic acid,Valine,Vitamin A,"Vitamin A, RAE",Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E,Vitamin K,Water,"Zinc, Zn"
"Milk, without added vitamin A and vitamin D, evaporated, canned",,,0.235 g,0.0 g,0.247 g,1.55 g,0.517 g,,,0.195 g,0.00 mg,261.00 mg,135,,10.04 g,0.00 mcg,15.00 mcg,29.00 mg,31.3 mg,,,,,,,0.016 mg,0.00 mcg,0.063 g,0.110 g,,0.000 g,,0.000 g,,0.000 g,,,0.161 g,,,,,0.000 g,0.000 g,0.000 g,7.56 g,,,,0.0 g,8.5 mcg,8.00 mcg,0.00 mcg,,,,1.426 g,0.144 g,,,2.027 g,0.159 g,0.134 g,0.185 g,,,0.19 mg,0.412 g,,0.667 g,0.00 mcg,0.00 mcg,0.540 g,24.00 mg,,0.006 mg,,0.171 g,2.335 g,0.194 mg,,0.167 g,0.921 g,0.000 g,0.078 g,2.101 g,0.054 g,0.638 mg,,,0.329 g,203.00 mg,,0.245 g,303.00 mg,0.660 g,6.81 g,0.316 mg,4.591 g,2.3 mcg,0.370 g,100 g,106.00 mg,,,,10.04 g,,,0.733 g,,0.00 mg,0.047 mg,0.307 g,0.16 mg,,,,,,,,,,,,,,0.096 g,0.329 g,,0.456 g,239.00 IU,65.00 mcg,0.16 mcg,0.050 mg,1.9 mg,6.00 IU,,0.1 mcg,0.16 mg,0.6 mcg,74.04 g,0.77 mg
Millet flour,,,1.282 g,,0.370 g,1.21 g,0.710 g,,,0.007 g,,14.00 mg,382,,75.12 g,,,,,0.044 g,0.000 g,0.002 g,2.549 g,0.007 g,0.895 g,0.535 mg,,0.178 g,0.008 g,0.0 mcg,0.000 g,0.015 g,0.000 g,0.001 g,0.000 g,0.000 g,0.000 g,0.001 g,0.000 g,0.000 g,0.000 g,0.021 g,0.000 g,0.020 g,0.020 g,4.25 g,0.002 g,0.000 g,0.003 g,3.5 g,,42.00 mcg,0.00 mcg,0.00 g,0.00 g,1.26 g,2.599 g,0.271 g,0.002 g,0.000 g,0.393 g,0.007 g,0.001 g,0.257 g,,,3.94 mg,0.473 g,0.00 g,1.537 g,,,0.144 g,119.00 mg,0.11 g,1.002 mg,0.2 mcg,0.319 g,0.924 g,6.020 mg,0.000 g,2.552 g,0.071 g,0.000 g,0.044 g,0.895 g,0.000 g,1.267 mg,0.002 g,0.000 g,0.675 g,285.00 mg,,2.618 g,224.00 mg,0.911 g,10.75 g,0.073 mg,0.536 g,32.7 mcg,0.782 g,100 g,4.00 mg,69.88 g,,0.30 g,1.66 g,0.012 g,0.001 g,0.003 g,0.002 g,,0.413 mg,0.354 g,0.11 mg,0.06 mg,0.53 mg,2.07 mg,0.00 mg,0.00 mg,0.01 mg,0.01 mg,,0.000 g,0.003 g,,0.000 g,,0.170 g,0.326 g,,0.584 g,,,,0.372 mg,0.0 mg,,,,0.11 mg,0.8 mcg,8.67 g,2.63 mg
"Mushrooms, raw, enoki",,,0.190 g,0.0 g,0.110 g,0.91 g,0.190 g,0.00 mg,1.4 mg,,0.00 mg,0.00 mg,37,1.00 mg,7.81 g,,,0.00 mg,47.7 mg,,,0.000 g,,,,0.107 mg,,0.020 g,0.000 g,0.5 mcg,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,,,0.000 g,0.000 g,,,0.000 g,0.000 g,0.000 g,0.000 g,0.29 g,0.000 g,,,2.7 g,,48.00 mcg,0.00 mcg,0.00 g,0.00 g,0.22 g,0.380 g,0.110 g,0.000 g,0.000 g,0.020 g,0.000 g,,0.070 g,,,1.15 mg,0.090 g,0.00 g,0.130 g,,,0.130 g,16.00 mg,0.00 g,0.075 mg,0.0 mcg,0.030 g,0.000 g,7.032 mg,,0.060 g,0.000 g,0.000 g,0.030 g,0.000 g,0.000 g,1.350 mg,0.000 g,0.000 g,0.150 g,105.00 mg,,0.090 g,359.00 mg,0.060 g,2.66 g,0.200 mg,0.020 g,2.2 mcg,0.090 g,100 g,3.00 mg,0.00 g,0.00 mg,0.00 g,0.22 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.225 mg,0.110 g,0.01 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,0.000 g,0.040 g,0.140 g,0.000 g,0.230 g,,,0.00 mcg,0.100 mg,0.0 mg,5.00 IU,0.1 mcg,0.0 mcg,0.01 mg,0.0 mcg,88.34 g,0.65 mg
"Mushrooms, raw, morel",,,,,,1.58 g,,0.00 mg,,,,43.00 mg,31,3.00 mg,5.10 g,0.00 mcg,0.00 mcg,,,0.000 g,0.000 g,0.001 g,0.215 g,0.002 g,0.022 g,0.625 mg,0.00 mcg,,0.001 g,,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.57 g,0.000 g,0.000 g,0.000 g,2.8 g,,9.00 mcg,0.00 mcg,0.00 g,0.00 g,0.60 g,,,0.000 g,0.000 g,0.052 g,0.002 g,0.000 g,,,,12.18 mg,,0.00 g,,0.00 mcg,0.00 mcg,,19.00 mg,0.00 g,0.587 mg,,,0.052 g,2.252 mg,0.000 g,0.215 g,0.009 g,0.000 g,0.000 g,0.022 g,0.000 g,0.440 mg,0.000 g,0.000 g,,194.00 mg,,0.433 g,411.00 mg,,3.12 g,0.205 mg,0.065 g,2.2 mcg,,100 g,21.00 mg,,0.00 mg,0.00 g,0.60 g,0.001 g,0.003 g,0.001 g,0.000 g,,0.069 mg,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,,,,,,0.00 IU,0.00 mcg,,0.136 mg,,206.00 IU,5.1 mcg,0.0 mcg,,,89.61 g,2.03 mg
"Mushrooms, raw, white",,2.18 g,0.199 g,0.0 g,0.078 g,0.85 g,0.195 g,0.00 mg,9.4 mg,0.000 g,0.00 mg,3.00 mg,22,2.00 mg,3.26 g,0.00 mcg,0.00 mcg,0.00 mg,17.3 mg,,,0.000 g,,,,0.318 mg,0.00 mcg,0.012 g,0.000 g,1.0 mcg,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,,,0.000 g,0.000 g,,,0.000 g,0.000 g,0.000 g,0.000 g,0.34 g,0.000 g,,,1.0 g,,17.00 mcg,0.00 mcg,0.17 g,0.00 g,1.48 g,0.343 g,0.092 g,0.000 g,0.000 g,0.040 g,0.000 g,0.000 g,0.057 g,,,0.50 mg,0.076 g,0.00 g,0.120 g,0.00 mcg,0.00 mcg,0.107 g,9.00 mg,0.00 g,0.047 mg,0.0 mcg,0.031 g,0.000 g,3.607 mg,,0.160 g,0.010 g,0.000 g,0.000 g,0.000 g,0.000 g,1.497 mg,0.000 g,0.000 g,0.085 g,86.00 mg,,0.160 g,318.00 mg,0.076 g,3.09 g,0.402 mg,0.050 g,9.3 mcg,0.094 g,100 g,5.00 mg,0.00 g,0.00 mg,0.00 g,1.98 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.081 mg,0.107 g,0.01 mg,0.01 mg,0.01 mg,0.01 mg,0.05 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.035 g,0.044 g,0.000 g,0.232 g,0.00 IU,0.00 mcg,0.04 mcg,0.104 mg,2.1 mg,7.00 IU,0.2 mcg,0.0 mcg,0.01 mg,0.0 mcg,92.45 g,0.52 mg
"Mustard greens, raw",,,,0.0 g,,1.36 g,,,,0.000 g,0.00 mg,115.00 mg,27,,4.67 g,10.00 mcg,1790.00 mcg,0.00 mg,0.5 mg,,,,,,,0.165 mg,40.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.058 g,,,0.000 g,,,,,0.000 g,0.000 g,0.019 g,0.42 g,0.000 g,,,3.2 g,,12.00 mcg,0.00 mcg,,,,,,,,0.005 g,0.000 g,0.000 g,,,,1.64 mg,,,,3730.00 mcg,0.00 mcg,,32.00 mg,,,,,0.092 g,0.800 mg,,0.020 g,0.002 g,0.000 g,0.018 g,0.015 g,0.000 g,0.210 mg,,,,58.00 mg,,0.038 g,384.00 mg,,2.86 g,0.110 mg,0.010 g,0.9 mcg,,100 g,20.00 mg,,,,1.32 g,,,0.000 g,,0.00 mg,0.080 mg,,2.01 mg,,,,,,,,,,,,,,,,,,3024.00 IU,151.00 mcg,0.00 mcg,0.180 mg,70.0 mg,0.00 IU,,,2.01 mg,257.5 mcg,90.70 g,0.25 mg
"Mustard greens, unprepared, frozen",,,,0.0 g,0.181 g,0.63 g,,,,0.000 g,,116.00 mg,20,,3.41 g,,,0.00 mg,,,,,,,,0.067 mg,,0.037 g,0.000 g,,0.000 g,,0.000 g,,0.077 g,,,0.000 g,,,,,0.000 g,0.000 g,0.026 g,0.27 g,0.000 g,,,3.3 g,,138.00 mcg,0.00 mcg,,,,,,,,0.006 g,0.001 g,0.000 g,0.045 g,,,1.29 mg,0.091 g,,0.076 g,,,0.113 g,15.00 mg,,0.339 mg,,0.023 g,0.124 g,0.314 mg,,0.027 g,0.002 g,0.000 g,0.024 g,0.020 g,0.000 g,0.019 mg,,,0.066 g,30.00 mg,,0.051 g,170.00 mg,,2.49 g,0.061 mg,0.014 g,0.7 mcg,,100 g,29.00 mg,,,,,,,0.000 g,,,0.048 mg,0.066 g,,,,,,,,,,,,,,,0.027 g,0.132 g,,0.097 g,5155.00 IU,258.00 mcg,0.00 mcg,0.131 mg,25.3 mg,0.00 IU,,,,,93.21 g,0.23 mg
"Mustard, yellow, prepared",,,0.164 g,0.0 g,0.252 g,3.37 g,0.390 g,,0.2 mg,0.000 g,0.00 mg,63.00 mg,60,,5.83 g,1.00 mcg,51.00 mcg,0.00 mg,22.4 mg,0.373 g,0.000 g,0.010 g,0.358 g,0.008 g,0.774 g,0.074 mg,27.00 mcg,0.072 g,0.005 g,0.0 mcg,0.000 g,0.016 g,0.000 g,0.000 g,1.056 g,1.056 g,0.000 g,0.002 g,0.018 g,0.018 g,0.000 g,0.020 g,0.000 g,0.000 g,0.289 g,3.34 g,0.009 g,0.004 g,0.005 g,4.0 g,1.5 mcg,7.00 mcg,0.00 mcg,0.23 g,0.00 g,0.47 g,0.724 g,0.228 g,0.002 g,0.000 g,0.117 g,0.008 g,0.000 g,0.119 g,0.000 g,,1.61 mg,0.146 g,0.00 g,0.292 g,113.00 mcg,0.00 mcg,0.264 g,48.00 mg,0.00 g,0.422 mg,0.0 mcg,0.076 g,2.182 g,0.565 mg,0.000 g,0.363 g,0.038 g,0.000 g,0.374 g,0.778 g,0.000 g,0.254 mg,0.002 g,0.000 g,0.161 g,108.00 mg,,0.774 g,152.00 mg,0.355 g,3.74 g,0.070 mg,0.214 g,33.5 mcg,0.204 g,100 g,1104.00 mg,0.64 g,,0.21 g,0.92 g,0.009 g,0.051 g,0.004 g,0.000 g,0.00 mg,0.177 mg,0.167 g,0.36 mg,0.00 mg,0.08 mg,2.15 mg,0.02 mg,0.00 mg,0.00 mg,0.00 mg,,0.000 g,0.005 g,0.000 g,0.004 g,,0.009 g,0.134 g,,0.189 g,109.00 IU,5.00 mcg,0.00 mcg,0.070 mg,0.3 mg,0.00 IU,,,0.36 mg,1.4 mcg,83.72 g,0.64 mg
"NABISCO, NABISCO GRAHAMS Crackers",,,,,,2.80 g,,,,,,79.00 mg,424,,76.20 g,,,0.00 mg,,,,,,,,0.030 mg,,,,,,,,,,,,,,,,,,,,10.00 g,,,,3.4 g,,46.00 mcg,,,,,,,,,,,,,,,4.13 mg,,,,,,,59.00 mg,,,,,3.600 g,3.780 mg,,,,,,,,,,,,202.00 mg,,0.460 g,177.00 mg,,6.99 g,0.240 mg,1.560 g,,,100 g,659.00 mg,,,,23.00 g,,,,,,0.228 mg,,,,,,,,,,,,,,,,,,,,0.00 IU,,,0.100 mg,0.0 mg,,,,,,3.60 g,1.94 mg
"Nuts, almond paste",,,,0.0 g,,1.37 g,,,,0.000 g,0.00 mg,172.00 mg,458,,47.81 g,0.00 mcg,0.00 mcg,0.00 mg,28.5 mg,,,,,,,0.454 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.003 g,,,,,0.000 g,0.000 g,0.027 g,27.74 g,,,,4.8 g,,73.00 mcg,0.00 mcg,,,,,,,,1.836 g,0.162 g,0.000 g,,,,1.60 mg,,,,1.00 mcg,0.00 mcg,,130.00 mg,,0.856 mg,,,18.012 g,1.422 mg,,5.576 g,0.542 g,0.000 g,0.199 g,17.680 g,0.000 g,0.113 mg,,,,258.00 mg,,5.821 g,314.00 mg,,9.00 g,0.414 mg,2.629 g,4.2 mcg,,100 g,9.00 mg,,,,36.25 g,,,0.158 g,,0.00 mg,0.082 mg,,13.54 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.036 mg,0.1 mg,0.00 IU,,,13.54 mg,0.0 mcg,14.08 g,1.48 mg
"Nuts, almonds",,,0.999 g,0.0 g,2.465 g,2.97 g,2.639 g,130.00 mg,0.5 mg,0.000 g,0.00 mg,269.00 mg,579,5.00 mg,21.55 g,0.00 mcg,1.00 mcg,0.00 mg,52.1 mg,0.003 g,0.000 g,0.002 g,12.320 g,0.227 g,31.294 g,1.031 mg,0.00 mcg,0.215 g,0.000 g,0.0 mcg,0.000 g,0.001 g,0.000 g,,0.000 g,,,0.000 g,0.000 g,,,0.007 g,0.000 g,0.000 g,0.005 g,49.93 g,0.015 g,0.012 g,0.003 g,12.5 g,,44.00 mcg,0.00 mcg,0.11 g,0.07 g,0.17 g,6.206 g,1.429 g,0.004 g,0.013 g,3.083 g,0.239 g,0.000 g,0.539 g,,,3.71 mg,0.751 g,0.00 g,1.473 g,1.00 mcg,0.00 mcg,0.568 g,270.00 mg,0.04 g,2.179 mg,,0.157 g,31.551 g,3.618 mg,0.002 g,12.324 g,0.704 g,0.000 g,0.003 g,31.294 g,0.000 g,0.471 mg,0.000 g,0.000 g,1.132 g,481.00 mg,,12.329 g,733.00 mg,0.969 g,21.15 g,1.138 mg,3.802 g,4.1 mcg,0.912 g,100 g,1.00 mg,0.72 g,4.00 mg,3.95 g,4.35 g,0.000 g,0.000 g,0.003 g,0.000 g,0.00 mg,0.205 mg,0.601 g,25.63 mg,0.23 mg,0.07 mg,0.64 mg,,,,,,0.012 g,0.003 g,,0.000 g,0.000 g,0.211 g,0.450 g,,0.855 g,2.00 IU,0.00 mcg,0.00 mcg,0.137 mg,0.0 mg,0.00 IU,,,25.63 mg,0.0 mcg,4.41 g,3.12 mg
"Nuts, english, walnuts",,,0.696 g,0.0 g,2.278 g,1.78 g,1.829 g,87.00 mg,0.3 mg,0.000 g,0.00 mg,98.00 mg,654,5.00 mg,13.71 g,0.00 mcg,12.00 mcg,0.00 mg,39.2 mg,,,0.000 g,,,,1.586 mg,0.00 mcg,0.208 g,0.000 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,0.000 g,,,0.063 g,0.000 g,0.000 g,0.134 g,65.21 g,,,,6.7 g,,98.00 mcg,0.00 mcg,0.09 g,,0.08 g,2.816 g,0.816 g,0.000 g,,4.404 g,0.000 g,0.000 g,0.391 g,,,2.91 mg,0.625 g,0.00 g,1.170 g,9.00 mcg,0.00 mcg,0.424 g,158.00 mg,0.00 g,3.414 mg,,0.236 g,8.933 g,1.125 mg,,38.093 g,1.659 g,0.000 g,9.080 g,8.799 g,0.000 g,0.570 mg,0.000 g,,0.711 g,346.00 mg,,47.174 g,441.00 mg,0.706 g,15.23 g,0.150 mg,6.126 g,4.9 mcg,0.934 g,100 g,2.00 mg,0.06 g,0.00 mg,2.43 g,2.61 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.341 mg,0.596 g,0.70 mg,0.15 mg,1.89 mg,20.83 mg,,,,,,,,,,0.000 g,0.170 g,0.406 g,,0.753 g,20.00 IU,1.00 mcg,0.00 mcg,0.537 mg,1.3 mg,0.00 IU,,,0.70 mg,2.7 mcg,4.07 g,3.09 mg
"Nuts, glazed, walnuts",,,,,,2.13 g,,,,,,71.00 mg,500,,47.59 g,,,0.00 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71 g,0.000 g,,,3.6 g,,,,,,,,,,,,,,,,,1.29 mg,,,,,,,,,,,,5.357 g,,,,,,,,,,,,,,,25.000 g,232.00 mg,,8.28 g,,3.571 g,,,100 g,446.00 mg,,,,32.14 g,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 IU,,,,0.0 mg,,,,,,6.28 g,
"Nuts, lightly salted, with peanuts, oil roasted, mixed nuts",,,0.982 g,0.0 g,2.965 g,2.88 g,2.892 g,,,0.004 g,0.00 mg,117.00 mg,607,,21.05 g,0.00 mcg,2.00 mcg,0.00 mg,52.0 mg,0.082 g,0.000 g,0.013 g,14.455 g,0.127 g,27.893 g,0.907 mg,0.00 mcg,0.288 g,0.002 g,,0.000 g,0.641 g,0.000 g,0.005 g,0.027 g,0.027 g,0.000 g,0.002 g,0.000 g,0.000 g,0.000 g,0.361 g,0.005 g,0.010 g,0.375 g,53.95 g,0.055 g,0.023 g,0.032 g,7.0 g,,83.00 mcg,0.00 mcg,0.00 g,0.00 g,0.00 g,5.574 g,1.387 g,0.046 g,0.037 g,5.205 g,0.128 g,0.000 g,0.572 g,,,2.61 mg,0.826 g,0.00 g,1.656 g,8.00 mcg,0.00 mcg,0.782 g,229.00 mg,0.00 g,2.040 mg,,0.283 g,28.488 g,7.709 mg,0.008 g,14.495 g,2.022 g,0.001 g,0.082 g,27.914 g,0.003 g,1.140 mg,0.005 g,0.000 g,1.182 g,456.00 mg,,14.612 g,632.00 mg,0.957 g,20.04 g,0.196 mg,8.711 g,33.9 mcg,1.168 g,100 g,161.00 mg,4.20 g,,4.15 g,4.15 g,0.378 g,0.006 g,0.043 g,0.001 g,0.00 mg,0.189 mg,0.703 g,7.82 mg,0.22 mg,0.32 mg,6.39 mg,0.04 mg,0.00 mg,0.00 mg,0.03 mg,,0.001 g,0.032 g,,0.021 g,,0.220 g,0.786 g,,1.001 g,3.00 IU,0.00 mcg,0.00 mcg,0.352 mg,0.5 mg,0.00 IU,,,7.82 mg,5.7 mcg,2.08 g,3.36 mg
"Nuts, pecans",,,0.397 g,0.0 g,1.177 g,1.49 g,0.929 g,117.00 mg,0.7 mg,0.000 g,0.00 mg,70.00 mg,691,6.00 mg,13.86 g,0.00 mcg,29.00 mcg,0.00 mg,40.5 mg,,,0.000 g,,,,1.200 mg,9.00 mcg,0.152 g,0.000 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,0.000 g,,,0.069 g,0.000 g,0.000 g,0.207 g,71.97 g,,,,9.6 g,10.0 mcg,22.00 mcg,0.00 mcg,0.04 g,,0.04 g,1.829 g,0.453 g,0.000 g,,4.366 g,0.000 g,0.000 g,0.262 g,,,2.53 mg,0.336 g,0.00 g,0.598 g,17.00 mcg,0.00 mcg,0.287 g,121.00 mg,0.00 g,4.500 mg,,0.183 g,40.801 g,1.167 mg,,20.628 g,1.745 g,0.000 g,0.986 g,40.594 g,0.000 g,0.863 mg,0.000 g,,0.426 g,277.00 mg,,21.614 g,410.00 mg,0.363 g,9.17 g,0.130 mg,6.180 g,3.8 mcg,0.474 g,100 g,0.00 mg,0.46 g,3.00 mg,3.90 g,3.97 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.660 mg,0.306 g,1.40 mg,0.39 mg,0.47 mg,24.44 mg,,,,,,,,,,0.000 g,0.093 g,0.215 g,,0.411 g,56.00 IU,3.00 mcg,0.00 mcg,0.210 mg,1.1 mg,0.00 IU,,,1.40 mg,3.5 mcg,3.52 g,4.53 mg
"Nuts, raw, coconut meat",,,0.170 g,0.0 g,0.546 g,0.97 g,0.325 g,,,0.000 g,0.00 mg,14.00 mg,354,,15.23 g,0.00 mcg,0.00 mcg,0.00 mg,12.1 mg,,,,,,,0.435 mg,0.00 mcg,0.066 g,1.864 g,,0.000 g,,0.000 g,,0.000 g,,,14.858 g,,,,,0.000 g,0.000 g,0.000 g,33.49 g,,,,9.0 g,,26.00 mcg,0.00 mcg,,,,0.761 g,0.158 g,,,2.839 g,0.000 g,0.191 g,0.077 g,,,2.43 mg,0.131 g,,0.247 g,0.00 mcg,0.00 mcg,0.147 g,32.00 mg,,1.500 mg,,0.062 g,1.425 g,0.540 mg,,0.366 g,1.734 g,0.000 g,0.000 g,1.425 g,2.346 g,0.300 mg,,,0.169 g,113.00 mg,47.00 mg,0.366 g,356.00 mg,0.138 g,3.33 g,0.020 mg,29.698 g,10.1 mcg,0.172 g,100 g,20.00 mg,,,,6.23 g,,,5.866 g,,0.00 mg,0.066 mg,0.121 g,0.24 mg,0.00 mg,0.00 mg,0.53 mg,1.46 mg,0.00 mg,,,,,,,,,0.039 g,0.103 g,,0.202 g,0.00 IU,0.00 mcg,0.00 mcg,0.054 mg,3.3 mg,0.00 IU,,,0.24 mg,0.2 mcg,46.99 g,1.10 mg
"Oil, all purpose salad or cooking, industrial and retail, corn",,,0.000 g,0.0 g,0.000 g,0.00 g,0.000 g,621.00 mg,,0.000 g,0.00 mg,0.00 mg,900,189.00 mg,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.2 mg,1.161 g,,,53.230 g,0.114 g,27.333 g,0.000 mg,0.00 mcg,0.000 g,0.000 g,,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,,,,0.431 g,0.000 g,0.000 g,0.129 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,0.067 g,,10.579 g,0.114 g,0.000 g,0.000 g,,0.286 g,0.00 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,,,0.000 g,27.576 g,0.000 mg,,53.515 g,1.848 g,0.000 g,1.161 g,27.333 g,0.000 g,0.000 mg,0.000 g,,0.000 g,0.00 mg,,54.677 g,0.00 mg,0.000 g,0.00 g,0.000 mg,12.948 g,0.0 mcg,0.000 g,100 g,0.00 mg,,56.00 mg,,0.00 g,,,0.024 g,,0.00 mg,0.000 mg,0.000 g,14.30 mg,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,14.30 mg,1.9 mcg,0.00 g,0.00 mg
"Oil, almond",,,0.000 g,0.0 g,0.000 g,0.00 g,0.000 g,,,0.000 g,0.00 mg,0.00 mg,884,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.4 mg,,,,,,,0.000 mg,0.00 mcg,0.000 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,,,6.500 g,0.600 g,0.000 g,0.000 g,,,0.00 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,0.00 mg,,,,0.000 g,69.900 g,0.000 mg,,17.400 g,1.700 g,0.000 g,0.000 g,69.400 g,0.000 g,0.000 mg,,,0.000 g,0.00 mg,266.00 mg,17.400 g,0.00 mg,0.000 g,0.00 g,0.000 mg,8.200 g,0.0 mcg,0.000 g,100 g,0.00 mg,,,,0.00 g,,,0.000 g,,0.00 mg,0.000 mg,0.000 g,39.20 mg,,,,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,39.20 mg,7.0 mcg,0.00 g,0.00 mg
"Oil, and olive, peanut, corn",,,,0.0 g,,0.00 g,,,,0.000 g,0.00 mg,0.00 mg,884,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.2 mg,,,,,,,0.000 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.533 g,100.00 g,,,,0.0 g,,0.00 mcg,0.00 mcg,,,,,,,,10.467 g,0.300 g,0.000 g,,,,0.13 mg,,,,0.00 mcg,0.00 mcg,,0.00 mg,,0.000 mg,,,48.033 g,0.000 mg,,32.633 g,2.067 g,0.000 g,0.433 g,47.167 g,0.000 g,0.000 mg,,,,0.00 mg,,33.033 g,0.00 mg,,0.00 g,0.000 mg,14.367 g,0.0 mcg,,100 g,0.00 mg,,,,0.00 g,,,0.033 g,,0.00 mg,0.000 mg,,14.78 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,14.78 mg,21.0 mcg,0.00 g,0.02 mg
